ETA,actor_loss,bacth_reward,critic_loss,critic_q1,critic_q2,critic_q_min,critic_target_q,episode,episode_length,episode_reward,episode_sr,fps,frame,step,total_time
14905.831224918365,1.088951587677002,-0.171875,0.062444306910037994,-1.0624455213546753,-1.0540437698364258,-1.0942071676254272,-1.0568543672561646,3011.0,10.0,-1.0,1.0,4.689439920877866,30110,30110.0,2.1494178771972656
13525.460890293121,1.3794989585876465,-0.234375,0.05231615900993347,-1.3003661632537842,-1.3197499513626099,-1.3346788883209229,-1.3234455585479736,3012.0,10.0,-3.0,1.0,5.167291567133085,30120,30120.0,4.086495876312256
14673.279878616333,1.46126389503479,-0.265625,0.03403420001268387,-1.3494961261749268,-1.3512898683547974,-1.3617666959762573,-1.3535516262054443,3013.0,10.0,-5.0,1.0,4.7623980853685985,30130,30130.0,6.187414646148682
12006.016033887863,1.3631250858306885,-0.25,0.036088988184928894,-1.2518932819366455,-1.235756516456604,-1.2691508531570435,-1.236457109451294,3014.0,10.0,-3.0,1.0,5.819582432905869,30140,30140.0,7.906825542449951
12333.310451507568,1.3400957584381104,-0.1875,0.04298393800854683,-1.2844127416610718,-1.2822215557098389,-1.3125985860824585,-1.2720258235931396,3015.0,10.0,-1.0,1.0,5.66433483326941,30150,30150.0,9.673357486724854
12784.13987994194,1.748671531677246,-0.328125,0.04884222894906998,-1.5855082273483276,-1.6379939317703247,-1.6580281257629395,-1.5938323736190796,3016.0,10.0,-7.0,1.0,5.463801292536955,30160,30160.0,11.5050368309021
12305.304056167603,1.6550781726837158,-0.265625,0.007270700763911009,-1.5499979257583618,-1.5599168539047241,-1.5740470886230469,-1.544761061668396,3017.0,10.0,-3.0,1.0,5.6756013245357515,30170,30170.0,13.268110275268555
12534.93837928772,1.767547607421875,-0.25,0.005995733663439751,-1.6536197662353516,-1.6716766357421875,-1.6814030408859253,-1.664433240890503,3018.0,10.0,-4.0,1.0,5.570829140682859,30180,30180.0,15.064347743988037
11700.37293767929,1.6638206243515015,-0.25,0.008030930534005165,-1.5229073762893677,-1.521625280380249,-1.543484091758728,-1.5143144130706787,3019.0,10.0,-6.0,1.0,5.967331158749239,30190,30190.0,16.741235733032227
11426.809068202972,1.7691354751586914,-0.28125,0.01656361296772957,-1.6620731353759766,-1.6319301128387451,-1.6732652187347412,-1.6315761804580688,3020.0,10.0,-4.0,1.0,6.109317096603822,30200,30200.0,18.379190921783447
14528.22467803955,1.9290366172790527,-0.296875,0.02082180418074131,-1.8080888986587524,-1.7740464210510254,-1.8153631687164307,-1.790950894355774,3021.0,10.0,-8.0,0.0,4.804441116987108,30210,30210.0,71.36626482009888
14042.081370353699,1.821776270866394,-0.40625,0.07409636676311493,-1.6972336769104004,-1.6856820583343506,-1.7275810241699219,-1.6974761486053467,3022.0,10.0,-8.0,0.0,4.970060930379162,30220,30220.0,73.37963366508484
13513.36500120163,1.800223708152771,-0.296875,0.03165201097726822,-1.636831521987915,-1.6375555992126465,-1.6697072982788086,-1.6578154563903809,3023.0,10.0,-6.0,1.0,5.16377674944731,30230,30230.0,75.31752228736877
12953.599992275238,1.7913472652435303,-0.359375,0.02322930097579956,-1.676786184310913,-1.6762524843215942,-1.70035719871521,-1.6644175052642822,3024.0,10.0,-5.0,1.0,5.386147483449134,30240,30240.0,77.17547559738159
12802.932830810547,1.9373458623886108,-0.421875,0.04899447411298752,-1.8123359680175781,-1.827773928642273,-1.8496277332305908,-1.8426661491394043,3025.0,10.0,-6.0,1.0,5.448751541687463,30250,30250.0,79.01207065582275
12859.627425670624,1.9832762479782104,-0.359375,0.024422142654657364,-1.8779754638671875,-1.884095549583435,-1.902040958404541,-1.8708235025405884,3026.0,10.0,-4.0,1.0,5.423951852661281,30260,30260.0,80.85707783699036
14065.062925338745,1.7977609634399414,-0.34375,0.057864122092723846,-1.6864080429077148,-1.683889389038086,-1.7083326578140259,-1.6860917806625366,3027.0,10.0,-8.0,1.0,4.9583852109442565,30270,30270.0,82.87515616416931
13417.742928028107,1.7363386154174805,-0.3125,0.04971170425415039,-1.6399675607681274,-1.6324779987335205,-1.6611533164978027,-1.658502459526062,3028.0,10.0,-4.0,1.0,5.196850198578639,30280,30280.0,84.8007071018219
13947.80822467804,1.6272811889648438,-0.265625,0.05135997384786606,-1.5935946702957153,-1.5611659288406372,-1.6100003719329834,-1.5913236141204834,3029.0,10.0,-3.0,1.0,4.998634830427586,30290,30290.0,86.80258393287659
14262.0693628788,1.5051827430725098,-0.265625,0.07107824087142944,-1.4215302467346191,-1.4596786499023438,-1.468785047531128,-1.4395573139190674,3030.0,10.0,-6.0,1.0,4.887789999215726,30300,30300.0,88.84985017776489
14637.025923728943,2.232800006866455,-0.4375,0.0758831799030304,-2.0949466228485107,-2.0558345317840576,-2.112593412399292,-2.085299491882324,3031.0,10.0,-7.0,1.0,4.7618963280652,30310,30310.0,160.0062563419342
16008.9240295887,1.8864675760269165,-0.3125,0.01811356656253338,-1.752256989479065,-1.7283377647399902,-1.768727421760559,-1.7332127094268799,3032.0,10.0,-7.0,1.0,4.35319699632496,30320,30320.0,162.30486297607422
14343.443954467773,1.7674310207366943,-0.390625,0.10402244329452515,-1.602968692779541,-1.6444282531738281,-1.665787935256958,-1.6821446418762207,3033.0,10.0,-8.0,1.0,4.857968575831169,30330,30330.0,164.36474061012268
13123.83350276947,1.8622379302978516,-0.265625,0.01685214787721634,-1.7458361387252808,-1.7345272302627563,-1.7619332075119019,-1.7259477376937866,3034.0,10.0,-7.0,1.0,5.308662288751059,30340,30340.0,166.2500524520874
13625.357115268707,2.3770878314971924,-0.4375,0.008678549900650978,-2.23488450050354,-2.2636711597442627,-2.2716822624206543,-2.2311978340148926,3035.0,10.0,-6.0,1.0,5.112526549629905,30350,30350.0,168.20822525024414
13988.993957042694,2.2295730113983154,-0.40625,0.0391581766307354,-2.1340436935424805,-2.137303113937378,-2.1614184379577637,-2.1405677795410156,3036.0,10.0,-7.0,1.0,4.978914153074963,30360,30360.0,170.2182126045227
14432.539600372314,2.1528429985046387,-0.4375,0.024713000282645226,-2.0076100826263428,-2.0247957706451416,-2.0450186729431152,-2.001838207244873,3037.0,10.0,-4.0,1.0,4.825207616142865,30370,30370.0,172.29194808006287
13154.482805013657,2.3784642219543457,-0.5625,0.05647836625576019,-2.1835744380950928,-2.1970818042755127,-2.2214040756225586,-2.1824839115142822,3038.0,10.0,-4.0,1.0,5.293252576487572,30380,30380.0,174.18245458602905
13455.838604450226,2.1175522804260254,-0.453125,0.020786091685295105,-1.9935410022735596,-2.002107858657837,-2.02520489692688,-2.001204013824463,3039.0,10.0,-3.0,1.0,5.173962177056337,30390,30390.0,176.11664366722107
15428.799562454224,1.79704749584198,-0.328125,0.0293430145829916,-1.6624956130981445,-1.6603113412857056,-1.6998841762542725,-1.6614749431610107,3040.0,10.0,-6.0,1.0,4.511692547318781,30400,30400.0,178.33455419540405
